scene_id,trip_id,item_id,item_path,level_1,level_2,level_3,depth,A_coded,B_coded,agreement
Brugmansia_01_S01_AB,Brugmansia_01,type_of_visual_alteration_full-blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,1,False,True,B_ONLY
Brugmansia_01_S01_AB,Brugmansia_01,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,True,True,AGREE
Brugmansia_01_S03_AB,Brugmansia_01,insight_religious,Insight | Religious,Insight,Religious,,1,True,False,A_ONLY
Brugmansia_01_S03_AB,Brugmansia_01,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_01_S03_AB,Brugmansia_01,type_of_visual_alteration_full-blown_immersive_hallucination,Type of visual alteration | Full-blown immersive hallucination,Type of visual alteration,Full-blown immersive hallucination,,1,False,True,B_ONLY
Brugmansia_01_S03_AB,Brugmansia_01,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_01_S03_AB,Brugmansia_01,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),2,True,False,A_ONLY
Brugmansia_01_S04_AB,Brugmansia_01,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,True,False,A_ONLY
Brugmansia_01_S04_AB,Brugmansia_01,visual_hallucination_geometrical_pattern,Visual hallucination | Geometrical pattern,Visual hallucination,Geometrical pattern,,1,False,True,B_ONLY
Brugmansia_01_S06_AB,Brugmansia_01,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,False,True,B_ONLY
Brugmansia_01_S06_AB,Brugmansia_01,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,True,False,A_ONLY
Brugmansia_01_S07_AB,Brugmansia_01,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_01_S07_AB,Brugmansia_01,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,True,AGREE
Brugmansia_01_S07_AB,Brugmansia_01,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,2,True,True,AGREE
Brugmansia_01_S08_AB,Brugmansia_01,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_01_S08_AB,Brugmansia_01,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,1,False,True,B_ONLY
Brugmansia_01_S08_AB,Brugmansia_01,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_01_S08_AB,Brugmansia_01,visual_hallucination_animal_insect,Visual hallucination | Animal | Insect,Visual hallucination,Animal,Insect,2,True,True,AGREE
Brugmansia_03_S01_AB,Brugmansia_03,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_03_S01_AB,Brugmansia_03,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,True,AGREE
Brugmansia_03_S01_AB,Brugmansia_03,visual_hallucination_animal_other,Visual hallucination | Animal | Other,Visual hallucination,Animal,Other,2,True,False,A_ONLY
Brugmansia_03_S02_AB,Brugmansia_03,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_03_S02_AB,Brugmansia_03,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_03_S02_AB,Brugmansia_03,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,False,True,B_ONLY
Brugmansia_03_S02_AB,Brugmansia_03,visual_hallucination_artefact_tool_cloth,"Visual hallucination | Artefact | Tool, cloth",Visual hallucination,Artefact,"Tool, cloth",2,True,False,A_ONLY
Brugmansia_03_S03_AB,Brugmansia_03,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_03_S03_AB,Brugmansia_03,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,True,False,A_ONLY
Brugmansia_03_S03_AB,Brugmansia_03,visual_hallucination_human_unknown_persons,Visual hallucination | Human | Unknown person(s),Visual hallucination,Human,Unknown person(s),2,True,True,AGREE
Brugmansia_04_S01_AB,Brugmansia_04,modal_status_of_the_hallucination_possible_and_probable_event,Modal status of the hallucination | Possible and probable event,Modal status of the hallucination,Possible and probable event,,1,True,False,A_ONLY
Brugmansia_04_S01_AB,Brugmansia_04,type_of_visual_alteration_hallucination_of_a_detached_object,Type of visual alteration | Hallucination of a detached object,Type of visual alteration,Hallucination of a detached object,,1,True,False,A_ONLY
Brugmansia_04_S01_AB,Brugmansia_04,type_of_visual_alteration_hallucination_of_an_incrusted_object,Type of visual alteration | Hallucination of an incrusted object,Type of visual alteration,Hallucination of an incrusted object,,1,False,True,B_ONLY
Brugmansia_04_S01_AB,Brugmansia_04,visual_hallucination_human_others,Visual hallucination | Human | Other(s),Visual hallucination,Human,Other(s),2,True,False,A_ONLY
Brugmansia_04_S02_AB,Brugmansia_04,type_of_visual_alteration_illusion,Type of visual alteration | Illusion,Type of visual alteration,Illusion,,1,True,False,A_ONLY
